run,phase,bidder,R2_r,R2c_r,KT_r,sMAE_r,R2_p,R2c_p,KT_p,sMAE_p,mean_true_r,mean_pred_r,mean_true_p,mean_pred_p
1,after_CCA,0,-1.758237477162555,0.02612714357664936,0.8475062211044796,0.9570043934207996,-4.266758668920018,0.06554234400677772,0.4594240837696335,0.9334324057178347,39.62019990344877,1.7034945276379585,11.012163195334972,0.7330532117560505
1,after_CCA,1,-2.167155308969859,0.03881709583034143,0.8132644999953782,0.9532645439573597,-3.005235690027826,0.05067934471086488,0.3939943571140669,0.9413778857137169,32.90408538183649,1.5377874359861017,12.252945878578048,0.7182935936376452
1,after_CCA,2,-1.7026287871158683,0.0430518549805351,0.8470001082306844,0.9393052452432205,-1.6794475827233932,0.04445362264905772,0.3736213929596617,0.9250490204662908,29.802817068335973,1.8088746730238199,11.205461523779077,0.8398603173345327
1,after_CCA,3,-1.5589751120771895,0.03825478653928671,0.8099616444843193,0.9498686021195772,-1.6391340854449363,0.027513324766538005,0.19734125585376908,0.9425263488297666,31.054052036722133,1.5567830384522676,12.129027063748067,0.6970994704961777
1,after_CCA,4,-1.3871842252388467,0.029757929453668397,0.8423593594742305,0.95070913968167,-0.9500765321796822,0.02063730211749526,0.3779591014405158,0.9410279198180824,34.833717552616385,1.7169839062541723,12.244113308497582,0.722060831785202
1,after_CCA,5,-2.075744285810104,0.036137019149198424,0.8217224959046416,0.9601940713490622,-5.815034218791797,0.06689489757174194,0.5335649896761848,0.9452809223578257,29.20012389233739,1.1623380482569337,8.859569587547938,0.48478747613728046
1,after_ML_DQ,0,0.2226256965800686,0.5554813910749568,0.8531932996209792,0.4149506904478201,0.24267784015216853,0.5397606692341528,0.647118046816008,0.3480404549878603,39.62019990344877,23.243862116134327,11.608709246585295,7.67564160653271
1,after_ML_DQ,1,0.5914307501353162,0.7711029556497673,0.8022929859473213,0.29856528248471753,0.3421670547613207,0.7277652123534619,0.5244572061860864,0.3900357624310846,32.90408538183649,23.95242338962605,12.218073837604118,8.071208739546666
1,after_ML_DQ,2,0.19916622840827747,0.5781980106375135,0.8302294921305182,0.43786693823771805,0.05429907919171506,0.36136717643975047,0.5857171635777599,0.4036345346302845,29.802817068335973,16.758556055517964,11.02698465176069,6.685870448425179
1,after_ML_DQ,3,0.6599133173155529,0.7258283015267131,0.8567839195979899,0.24790487930695418,0.5250301394982622,0.6355872939522387,0.5142785192646688,0.3201132629351505,31.054052036722133,25.061798652755243,12.097187878016397,9.15462612829243
