run,phase,bidder,R2_r,R2c_r,KT_r,sMAE_r,R2_p,R2c_p,KT_p,sMAE_p,mean_true_r,mean_pred_r,mean_true_p,mean_pred_p
1,after_CCA,0,-0.12516916496315833,0.009124482520479149,0.3086652713572444,1.0799363651727332,nan,nan,nan,nan,9.223945418165213,1.1597884790599347,0.0,0.0
1,after_CCA,1,-0.04478359255250863,0.017929333949457504,0.31312004698076523,1.2062945354593344,0.07793776312736755,0.08254807431173083,0.9999999999999999,0.9578371081182172,5.4720713787716635,1.5692817114293576,0.18047529186051506,0.007609360218048096
1,after_CCA,2,-0.09036738213115947,0.010554505040419326,0.300805836455697,1.1083923626396028,nan,nan,nan,nan,8.515723386801595,1.3407936032116412,0.0,0.0
1,after_CCA,3,-0.09739785278852753,0.017213695428269338,0.3196796516111911,1.1193851446296044,nan,nan,nan,nan,8.86093364579546,1.708298620209098,0.0,0.0
1,after_CCA,4,-0.04402268450992319,0.020669259674963913,0.3160734709278687,1.215566140717685,0.09431550544831302,0.098843927921071,0.9999999999999999,0.9492924059945537,5.8115173279187085,1.8002783211693167,0.17637986414938314,0.008943798542022706
1,after_CCA,5,-0.15243446348403888,0.011378099947160769,0.3607584186886308,1.0594345174481898,0.03726241113613593,0.04207609908045529,0.9999999999999999,0.9787358688224033,12.187823020022224,1.27746428899467,0.2959569874345858,0.006293268203735352
1,after_ML_DQ,0,-0.17569968229313826,0.0,nan,1.0,nan,nan,nan,nan,9.223945418165213,0.0,0.0,0.0
1,after_ML_DQ,1,-0.08642505202703776,0.01869279196200868,0.4245497354855675,1.0425985868495593,0.042354745785733616,0.04714297205680518,0.9999999999999999,0.9761439586163482,5.4720713787716635,0.4192396542293136,0.18047529186051506,0.0043054260313510895
1,after_ML_DQ,2,-0.14216514892740229,0.0,nan,1.0,nan,nan,nan,nan,8.515723386801595,0.0,0.0,0.0
1,after_ML_DQ,3,-0.1758956980501163,0.0,nan,1.0,nan,nan,nan,nan,8.86093364579546,0.0,0.0,0.0
