run,phase,bidder,R2_r,R2c_r,KT_r,sMAE_r,R2_p,R2c_p,KT_p,sMAE_p,mean_true_r,mean_pred_r,mean_true_p,mean_pred_p
1,after_CCA,0,-3.896284435848295,0.021255816001756633,0.827483829385999,0.9801519921476559,-8.706284083583679,0.033079459880586026,0.3149499320686358,0.975956048735791,59.92541651344669,1.1894001375138759,23.713655518497372,0.5701699775829911
1,after_CCA,1,-3.295188505017437,0.03390043335532511,0.8700050626460271,0.9745456556279808,-10.321301456112867,0.04773293069197382,0.35141663731065376,0.9733906166714527,54.4148596826074,1.3850945773161947,22.847270621300495,0.6079517819732427
1,after_CCA,2,-3.136880093108892,0.03165411086128189,0.815632738849972,0.971795050897365,-8.707289117216492,0.0521169024730731,0.5025155966995372,0.9676039450520691,46.35651445989693,1.307483130916953,19.582861483779233,0.6344074566662311
1,after_CCA,3,-2.7952602818391648,0.038788586268031944,0.8279337296289594,0.968724453764523,-9.924568556197713,0.0480193135152579,0.35205031446540885,0.9686799288707647,48.056932038062335,1.503006799891591,22.123551657692325,0.6929112115502357
1,after_CCA,4,-3.4669404189232607,0.035222490536307216,0.7856458885338522,0.963130209367726,-10.144239513926244,0.06358330598627904,0.11358372772127681,0.9553251170068072,51.2964024697361,1.8912876192480326,22.658653556513965,1.0122726964205504
1,after_CCA,5,-3.02119999575606,0.04157830004094931,0.8442771516626776,0.9670687897800757,-7.798445891247049,0.06599895898848718,0.7148749937119572,0.961474986480772,45.585860881082226,1.501197567731142,18.27865277827705,0.7041853453963995
1,after_ML_DQ,0,0.3247893295519658,0.8239301728147839,0.9155778894472361,0.3498631865926242,0.07816360961206958,0.9253413311455347,0.8415094339622643,0.2982179763339224,59.92541651344669,38.95971933416197,23.517252480776495,16.503985037025416
1,after_ML_DQ,1,0.21120903458712625,0.7760279587736657,0.8765774362674849,0.40141547461956534,-0.4596258363924177,0.866947262915948,0.7589209321052895,0.3403147146731133,54.4148596826074,32.5718929567565,22.44252455724508,14.805003216001879
1,after_ML_DQ,2,0.8616191232296566,0.90471215549069,0.8747299446221931,0.14745994482497773,0.7033876632817462,0.7187680020544698,0.6779874213836479,0.15301820732228308,46.35651445989693,41.10288081718382,19.62705070893336,18.782882505653898
1,after_ML_DQ,3,0.6004577028507019,0.84642450132076,0.8747338957010428,0.28848469053468184,0.2126690367003029,0.7679883604971369,0.6752867780237474,0.24605024541585144,48.056932038062335,34.342087734602195,22.36405063167461,17.112684062422492
1,after_ML_DQ,4,0.07912469181650039,0.7645341105465544,0.8464810418245858,0.4260807043481215,-1.2871989406474516,0.6605259477157692,0.5570773956392567,0.3990482808277713,51.2964024697361,29.439995174906226,22.38735714609135,13.453720764666272
1,after_ML_DQ,5,0.4237586017792869,0.8273556281962269,0.8539239733796083,0.3517857041899198,0.22549049719205405,0.8277729760133258,0.7314754263292921,0.27333517604594576,45.585860881082226,29.582775334873205,18.22806173883257,13.29203735834244
2,after_CCA,0,-3.8386586471244852,0.033073755951719463,0.7526279376076052,0.9701024910270407,-10.438784408597193,0.052945948116043695,0.38555974842767304,0.9654644408415443,60.32085851413463,1.8034434086829423,23.596018061533854,0.8149016776680946
2,after_CCA,1,-3.1941163276359354,0.041951643067463684,0.8032111619993486,0.9652148848591774,-9.28735772329989,0.04381233487574798,0.2356937943530122,0.963781940833629,48.31323564587491,1.680581464767456,21.47520111719578,0.7777901046723127
2,after_CCA,2,-3.0456486212786817,0.041464904075472764,0.8399542512669268,0.965854545336982,-5.83194471286798,0.04505220837863233,0.3514111787493083,0.9649158623405714,46.489223988230236,1.5873956900089978,20.22167642422493,0.7094600793719291
2,after_CCA,3,-2.802757801245579,0.0426987883429818,0.8010826482421237,0.9658922735632672,-8.448761825522395,0.049991929772983834,0.4741930610806184,0.9647688198999553,44.75185462819978,1.5263840151950716,20.380723430549075,0.718036937750876
2,after_CCA,4,-3.397944298061655,0.031249101468332152,0.8268171991014273,0.9712719764966282,-10.162547183406414,0.05174554118041075,0.4936861699451628,0.9698551093045972,52.032057485147604,1.4947781703621148,24.267752660343266,0.7315487513691187
2,after_CCA,5,-3.0385645992532284,0.052250685485677906,0.8337683584414707,0.9608510509830959,-6.99741692532615,0.0638585637193766,0.445417043968206,0.9576711267840478,42.01334777053875,1.6447784098982812,16.675917439594368,0.705872795060277
2,after_ML_DQ,0,-0.5225772113962133,0.6695552870762863,0.8835258037260016,0.5383035164710243,-2.464129108206036,0.7728588504086791,0.6787116255661803,0.521341974341005,60.32085851413463,27.849928259424825,23.392308163835082,11.196916041308091
2,after_ML_DQ,1,0.4663542050766014,0.8722789710550746,0.883683562860805,0.3421049709793835,0.07771593707055702,0.8648572077194258,0.7895213649403593,0.2816378142076003,48.31323564587491,31.79726540045448,21.507247901204646,15.456500530130125
2,after_ML_DQ,2,0.18057426325873815,0.7472398633781194,0.7691313476888576,0.41844393941035807,0.08384275874635849,0.6420762246899463,0.740679245283019,0.3276653539261751,46.489223988230236,27.251612523070207,20.20552856771138,14.146981937920566
2,after_ML_DQ,3,0.9197019645095437,0.9220657538310788,0.8510093728493688,0.1255002155540857,0.2418187419642256,0.35993185609063205,0.7095669687814704,0.21778999972952678,44.75185462819978,43.505997815712725,20.468505985493845,22.80778536993453
2,after_ML_DQ,4,0.8581798985303308,0.9143971358838942,0.9218746146392728,0.13611009777598462,0.7427888171503988,0.8974259757570898,0.7488175505685821,0.13237108218477694,52.032057485147604,45.56136712618269,24.434750505153694,21.473644508558337
2,after_ML_DQ,5,0.7978821810524195,0.9211795923622732,0.8772371511763511,0.19977193728788675,0.668510511349024,0.7686410682889334,0.8020828092770539,0.18694548060371083,42.01334777053875,33.95058629345733,16.56487721496566,14.687770188997975
3,after_CCA,0,-3.9574380239664313,0.032616882569897365,0.8224619655257547,0.9725610394659371,-6.870791549103616,0.03814228002084463,0.29558038860364444,0.9683818245861346,47.97099054203455,1.3162741162627936,18.530713284677702,0.5859073431789875
3,after_CCA,1,-3.2546440105079197,0.04700951034984968,0.7823956124639312,0.9599033881422004,-7.076692102744124,0.04102387367252014,0.24123358655732757,0.9574369785862178,38.10460827091157,1.5278656878322363,17.136138973790157,0.7293658500909805
