run,phase,bidder,R2_r,R2c_r,KT_r,sMAE_r,R2_p,R2c_p,KT_p,sMAE_p,mean_true_r,mean_pred_r,mean_true_p,mean_pred_p
1,after_CCA,0,-1.8926523384742628,0.007310790733369932,0.8943111285964049,0.990543406637373,-0.7888971811806191,0.047030247528990765,0.8709300968607774,0.9755014983767081,174.228586483472,1.647608894519508,10.203598600908144,0.2499728768877685
1,after_CCA,1,-1.536789658525365,0.008225370238074126,0.8588432888538566,0.9884574186424224,-0.5111208916248815,0.058068783633850374,0.8549724592942317,0.9666381701595692,150.70649603947285,1.7395419916510582,8.112343855095382,0.2706426353007555
1,after_CCA,2,-1.5278337611210033,0.006277121008545494,0.8750946656214419,0.9910882100519327,-0.7067508711357788,0.052275307185056796,0.8912586362270953,0.9740555490736302,156.16281597638724,1.3916902136802674,7.610795280541726,0.19745790466666222
1,after_CCA,3,-1.3855744045248235,0.008354864660484074,0.8782727110173751,0.9882251082093704,-0.6369424843505487,0.06345267348655037,0.8563429465952195,0.9652240715251398,146.88389424384977,1.7295419605076312,8.558157333056469,0.29761786729097367
1,after_CCA,4,-1.537299155852601,0.00523120875816252,0.8869725139476877,0.9923501763279801,-0.6863897796091329,0.03887329664770556,0.8930099857346647,0.9798470387678033,153.0320298858562,1.1706680447980762,8.332900950580504,0.16793262980878354
1,after_CCA,5,-1.5285553178407878,0.007623822752837461,0.8308991685929781,0.9889887063460191,-0.33455474490600445,0.06611419876491864,0.8675571976694615,0.9630476657141782,152.58177126148462,1.6801226896047592,5.0648029796576255,0.18715629279613494
1,after_ML_DQ,0,-0.9397566298207256,0.2502727905987854,0.8351936701624801,0.7847908676094859,0.5596111667111996,0.7377356670716604,0.8304352899988331,0.46263342799004936,174.228586483472,37.64478774964881,10.203598600908144,5.608880745476196
1,after_ML_DQ,1,-0.6331520805102155,0.2649890582584442,0.7720603015075377,0.7541790878905232,0.7029461609864897,0.7580890436964173,0.8222867865141337,0.4055172805361553,150.70649603947285,37.128061535762384,8.112343855095382,5.671575762860082
1,after_ML_DQ,2,-0.7773330652670636,0.2315096159807425,0.8534372857424593,0.8038946443101218,0.4820309754836829,0.6691991565638085,0.8186842895764495,0.4909599719676372,156.16281597638724,30.654272362510905,7.610795280541726,3.9294936974041503
1,after_ML_DQ,3,-0.5766467873416883,0.2644058960171355,0.8533367453306382,0.7682726327801656,0.6125810689280167,0.7314646294726465,0.8275633692576315,0.4366001351986789,146.88389424384977,34.13266278809714,8.621157805967787,5.183066765739202
1,after_ML_DQ,4,-0.7736105646222082,0.23152114931586465,0.8888498114555964,0.8011145657217912,0.5462314225006164,0.6950862016441025,0.8859961959106039,0.4618709245168548,153.0320298858562,30.445735455941747,8.486801284882588,4.60702749676893
1,after_ML_DQ,5,-0.8247398060919626,0.21987320459799287,0.8515260993635925,0.8162238299247627,0.6472176725531401,0.7247752833681539,0.894841551797641,0.448718042871918,152.58177126148462,28.144417235664097,5.0648029796576255,2.918803020223412
1,after_bridge,0,-0.9397566298207256,0.2502727905987854,0.8351936701624801,0.7847908676094859,0.5596111667111996,0.7377356670716604,0.8304352899988331,0.46263342799004936,174.228586483472,37.64478774964881,10.203598600908144,5.608880745476196
1,after_bridge,1,-0.6331520805102155,0.2649890582584442,0.7720603015075377,0.7541790878905232,0.7029461609864897,0.7580890436964173,0.8222867865141337,0.4055172805361553,150.70649603947285,37.128061535762384,8.112343855095382,5.671575762860082
1,after_bridge,2,-0.7773330652670636,0.2315096159807425,0.8534372857424593,0.8038946443101218,0.4820309754836829,0.6691991565638085,0.8186842895764495,0.4909599719676372,156.16281597638724,30.654272362510905,7.610795280541726,3.9294936974041503
1,after_bridge,3,-0.5766467873416883,0.2644058960171355,0.8533367453306382,0.7682726327801656,0.5933115128015649,0.7081091434578706,0.8303329520139684,0.4437843066531142,146.88389424384977,34.13266278809714,8.816287355462286,5.229665007589936
1,after_bridge,4,-0.7736105646222082,0.23152114931586465,0.8888498114555964,0.8011145657217912,0.5462314225006164,0.6950862016441025,0.8859961959106039,0.4618709245168548,153.0320298858562,30.445735455941747,8.486801284882588,4.60702749676893
1,after_bridge,5,-0.8247398060919626,0.21987320459799287,0.8515260993635925,0.8162238299247627,0.6472176725531401,0.7247752833681539,0.894841551797641,0.448718042871918,152.58177126148462,28.144417235664097,5.0648029796576255,2.918803020223412
1,final,0,-0.7889438474458916,0.22616289227991226,0.814866949003652,0.7264616098412476,0.8637533206242853,0.8881193947887154,0.8720970941766835,0.2301630858811848,174.228586483472,48.08179935584807,10.203598600908144,8.504221352913708
1,final,1,-0.5975412074687361,0.21899246039146525,0.8163393055448289,0.7202022737054715,0.8814994265289732,0.8903661470766893,0.8848737969856548,0.22056452725622236,150.70649603947285,42.410940897541096,8.112343855095382,7.133612966695303
1,final,2,-0.4341230736757482,0.2358217329011505,0.8419783041089562,0.6666714618505454,0.841703404897703,0.9006193503392801,0.9079603484529891,0.2995184424265708,156.16281597638724,53.88508641703795,7.745710356663022,9.927336156185019
1,final,3,-0.5352690896533323,0.20344692665542807,0.8659027115084227,0.7257467880098633,0.8996627796446409,0.9018356521685315,0.8670980885613279,0.22595452196317842,146.88389424384977,41.21468655056629,8.805003357819063,8.331956359715583
1,final,4,-0.549736248292191,0.17896543276477772,0.8987007904233825,0.6928606931620255,0.8348698575982747,0.9063502179401502,0.9190442225392296,0.3418664159968102,153.0320298858562,48.65490858232494,8.486801284882588,11.175352908138418
1,final,5,-0.7641313973625425,0.16931238084072198,0.8669987270017577,0.7730530494347223,0.9029575751053295,0.9076421326707196,0.9276680403581071,0.21380507998144038,152.58177126148462,34.95203176879594,5.0648029796576255,4.537388816141342
2,after_CCA,0,-1.8913944437000807,0.006946025716268789,0.821226374913552,0.9898018550659032,-0.8143809025790922,0.05904886228868378,0.8740659213346463,0.9688838144404448,176.69900057851805,1.802002017609775,9.375085504898003,0.2917169002071023
2,after_CCA,1,-1.5373998862566176,0.007924984292176918,0.8744335898283394,0.9892956096805258,-0.6246969935320112,0.05671071852760723,0.8751279426816787,0.9691041535751904,164.6190615666523,1.7621466890349984,8.894944683881693,0.2748168449103832
2,after_CCA,2,-1.5198528246944365,0.006869105208821669,0.8625760588001996,0.990367440395894,-0.5223818854068885,0.04984194608735981,0.8834607849333248,0.9734294513162589,159.11304077232688,1.5326658490300178,8.406828165031332,0.2233740370348096
2,after_CCA,3,-1.3979596895844493,0.009776802108492855,0.8968947665904642,0.9878211860358046,-0.7266589953325759,0.0618148654024564,0.8330861854202503,0.9662550128799479,153.91825096359926,1.8745417441800236,9.094796717628991,0.3069037980958819
2,after_CCA,4,-1.5572225007261435,0.00659113944410239,0.8878246537196872,0.9901972265306801,-0.7405346510372863,0.04700300590333262,0.863708585888307,0.9756491827264929,152.3794294222811,1.4937410280108452,9.828525550172245,0.2393326297402382
2,after_CCA,5,-1.5873121321029844,0.0075022761699702345,0.8701307538020713,0.9905479995090404,-0.531822328279514,0.04720664060418556,0.8699247652801094,0.9745982457332428,163.29743081546656,1.5434873962402345,8.38066844625111,0.21288368046283723
